Asset,Correlaries,Prediction Distance,Corollary Distances,Diff,Unused Corollaries,Years Not worked,Years Up,Years Down,Year Worked,Continuous Difference,Average difference,Standard Deviation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,"1 ,5 ,10",FALSE,,,13,4,17,0.6142286507803780,0.006327220825750300,,0.000749867653594638,0.0002453564413522620,0.014904693709743700,0.013075475923968200,0.003928282697334580,0.019974619739772500,-0.0007876851861809980,0.004614386090889160,-0.00113011884548464,-0.0006104793917725000,0.0017214428403504700,0.0022648619922083200,-0.0011400904554120800,0.0004910228158259140,0.044181155688274100,0.0019007314720349600,0.003179230851256600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",1,"1 ,5 ,10 ,20 ,63 ,126 ,252",FALSE,,,12,5,17,0.632059022955274,0.006449272165971340,,0.0018493765789691100,0.0005212926981357220,0.016088183340042000,0.013718683477303800,0.004790737554420280,0.020920083240065100,-0.0013147831391582300,0.0028286675199553600,-0.000945008784455803,-0.0005301671520734350,0.0025148729558677200,0.002001777522788300,-0.0021710700930847000,-0.0004589568423638560,0.04485979487569260,0.0014576414562326200,0.003506501613176230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"1 ,5 ,10 ,20 ,63 ,126 ,252",FALSE,,"2006 ,2007",11,4,15,0.4802538603484540,0.006630588668334410,,0.0,0.0,0.019745602127492300,0.0068708615918162700,0.01468205105679420,0.015079250872994900,-0.0015156107598279800,0.0028002373141757800,-0.000991989504085078,0.0007656631214483230,-0.0008163558341272030,0.002311347507812920,-0.0018705865490037400,4.67546721543144E-05,0.03873248565848160,0.0008381508129342570,0.0027809679359551700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"1 ,5 ,10 ,20 ,63 ,126",FALSE,,,12,5,17,0.6163041770461280,0.0059556519425388900,,0.004374589078983470,-0.0001429473037419800,0.022818648093016100,0.005070293311034040,0.007532474384301490,0.018416448194253000,-0.0025761687322980500,0.002989324368534830,-0.0013194161648322200,0.0007351393108263600,0.0010599775322655000,0.0022473776928515500,-0.0019222289753473300,-0.0008093992272091290,0.039222493755106200,0.0005971826635426950,0.002952295041874440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"1 ,5 ,10 ,20 ,63",FALSE,,,11,6,17,0.5048902557590970,0.0048731195666551400,,0.0013391978793169100,-0.0004459156586837930,0.019621024499671500,-0.006445735259658300,0.007490774274588440,0.018108568855372200,-0.0031412032737137000,0.003984393288821940,-0.0016726458214750800,0.00024259638719481600,0.000957885912720835,0.0027431007638445400,-0.0017294990561245200,-0.00033061547786972200,0.038857125406252600,0.00157086470558232,0.001693115207296310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"1 ,5 ,10 ,20",FALSE,,,11,6,17,0.5444326769442960,0.00525863638813181,,0.000829852254475405,-0.0010896170243690500,0.021675883085062300,-0.0008310992962907720,0.007584659121625540,0.017724568849782900,-0.0015697738329176800,0.003235930556529040,-0.0017406326195628100,0.00021626041896993800,0.0007123114019846890,0.0024624803832193900,-0.0012729219050539000,-0.0003952577152750440,0.03849925635612570,0.002109994808308090,0.0012449237556270100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",1,"5 ,10 ,20",FALSE,,,11,6,17,0.25993186898502700,0.0022109060308007600,,0.0012304700271141800,-0.0007719924379121500,0.016733371620097100,-0.008029752363388770,0.004905309666745070,0.014213894230787700,0.0017470805311330400,0.0020549777171254800,-0.002140392990684690,0.0027936596240001300,-2.20613636658928E-05,0.0016943556615234300,-0.00041104893334409400,0.00113293672528747,-0.001256456352629390,0.0030304322457197500,0.0006806189157045890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd ,jp ,eu",5,"1 ,5 ,10 ,20 ,63 ,126 ,252",FALSE,,"2006 ,2007",12,3,15,0.3114460090915930,0.005142891646498620,,0.0,0.0,0.01093458674061370,0.011962742837821100,0.013859344984547700,0.018321430819341600,0.00875816465429069,-0.0021256124431299200,0.001500549532667870,0.0030484120260743100,-0.008414485207618670,0.0016614202929947600,0.001403845810693530,0.007635061204372070,-0.0034315600151937400,0.0022831625516226400,0.009746310908381740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",5,"1 ,5 ,10 ,20 ,63 ,126 ,252",FALSE,,,13,4,17,0.33110576450465300,0.00343865491013285,,0.006327759982891920,0.0014084756813168600,0.02141091757676230,-0.009692068903144560,-0.004354990213249140,0.021953085868549500,0.006656149415853690,-0.01483307106077870,0.0035611604093546100,0.0038507335578674700,0.0027948835108055900,0.002268985560353930,-0.0024220379822725800,0.0026895513405171800,4.44474364622582E-05,0.005661687186423680,0.011131464104544500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnd,"sp ,bnd",5,"1 ,5 ,10 ,20 ,63 ,126",FALSE,,,12,5,17,0.38060593016669600,0.003943823151147530,,0.006509660664534070,0.0008527926437704730,0.024886337473703600,-0.00927456754191347,-0.0016925482736320800,0.022922185993072400,0.007373616138220960,-0.015529988493810900,0.0024885267980181400,0.004925313449289480,0.0026100705327316600,0.0018895281193380700,-0.0008167634283674510,0.00335450487394251,-0.0007403292049885660,0.005174069146674840,0.012112584678924300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
