Date,Close*,High,Low,Open,Adj Close**,Volume
11/28/2006,394.3,394.92,391.44,393.35,394.3,-
11/27/2006,393.37,402.51,393.17,402.51,393.37,-
11/24/2006,402.51,403.54,400.2,402.7,402.51,-
11/22/2006,402.71,403.61,401.61,402.34,402.71,-
11/21/2006,402.37,402.59,400.2,400.86,402.37,-
11/20/2006,400.87,401.62,398.85,399.85,400.87,-
11/17/2006,399.86,400.99,397.69,400.99,399.86,-
11/16/2006,400.99,402.87,400.61,402.31,400.99,-
11/15/2006,402.31,403.7,398.93,399.13,402.31,-
11/14/2006,399.13,399.14,391.71,393.07,399.13,-
11/13/2006,393.07,393.57,390.48,391.65,393.07,-
11/10/2006,391.69,391.69,388.28,388.91,391.69,-
11/9/2006,388.91,392.83,387.49,392.35,388.91,-
11/8/2006,392.35,393.19,388.19,389.75,392.35,-
11/7/2006,389.76,393.05,388.45,388.81,389.76,-
11/6/2006,388.81,389.73,383.72,383.72,388.81,-
11/3/2006,383.72,385.38,381.13,382.61,383.72,-
11/2/2006,382.61,384.1,380.8,383.78,382.61,-
11/1/2006,383.8,391.7,383.61,389.94,383.8,-
10/31/2006,389.94,392.54,387.76,392.06,389.94,-
10/30/2006,392.07,392.91,387.97,390.55,392.07,-
10/27/2006,390.56,395.38,390.01,395.38,390.56,-
10/26/2006,395.42,395.42,389.86,392.1,395.42,-
10/25/2006,392.1,392.38,388.95,389.28,392.1,-
10/24/2006,389.29,389.57,386.81,388.5,389.29,-
10/23/2006,388.5,390.19,385.05,387.59,388.5,-
10/20/2006,387.59,390.41,386.49,390.17,387.59,-
10/19/2006,390.17,391,387.17,388.54,390.17,-
10/18/2006,388.52,392.85,387.52,389.84,388.52,-
10/17/2006,389.86,392.82,387.08,392.82,389.86,-
10/16/2006,392.83,392.89,388.79,388.79,392.83,-
10/13/2006,388.79,389.55,385.83,386.48,388.79,-
10/12/2006,386.48,386.5,379.18,379.18,386.48,-
10/11/2006,379.19,381.54,376.56,380.66,379.19,-
10/10/2006,380.68,381.71,378.81,379.81,380.68,-
10/9/2006,379.81,380.57,375.72,377.37,379.81,-
10/6/2006,377.37,379.34,375.19,379.34,377.37,-
10/5/2006,379.34,379.54,374.7,374.98,379.34,-
10/4/2006,375.01,375.05,367.03,367.98,375.01,-
10/3/2006,367.99,369.9,364.8,368.16,367.99,-
10/2/2006,368.16,371.87,367.33,371.78,368.16,-
9/29/2006,371.78,376.31,371.68,375.56,371.78,-
9/28/2006,375.56,377.84,373.41,376.14,375.56,-
9/27/2006,376.16,377.19,374.4,374.89,376.16,-
9/26/2006,375.05,375.89,372.33,373.12,375.05,-
9/25/2006,373.12,373.93,366.64,369.08,373.12,-
9/22/2006,369.08,372.81,366.62,372.81,369.08,-
9/21/2006,372.81,377.79,371.44,376.06,372.81,-
9/20/2006,376.07,377.67,372.38,372.38,376.07,-
9/19/2006,372.28,374.3,367.63,374.15,372.28,-
9/18/2006,374.15,376.29,372.67,373.91,374.15,-
9/15/2006,374.06,375.76,372.49,372.69,374.06,-
9/14/2006,372.69,374.76,371.31,374.76,372.69,-
9/13/2006,374.76,374.98,371.02,371.24,374.76,-
9/12/2006,371.29,372.04,363.25,363.25,371.29,-
9/11/2006,363.25,365.19,359.73,364.14,363.25,-
9/8/2006,364.15,364.76,362.83,363.23,364.15,-
9/7/2006,363.23,366.6,362.07,365.19,363.23,-
9/6/2006,365.21,372.74,365.21,372.74,365.21,-
9/5/2006,372.76,372.95,369.77,369.85,372.76,-
9/1/2006,369.85,371.5,368.07,368.82,369.85,-
8/31/2006,368.82,370.4,368.44,368.77,368.82,-
8/30/2006,368.94,369.72,366.47,367.29,368.94,-
8/29/2006,367.31,367.44,361.78,363.79,367.31,-
8/28/2006,363.8,364.5,360.1,360.53,363.8,-
8/25/2006,360.53,362.66,359.16,360.28,360.53,-
8/24/2006,360.28,361.79,357.63,360.91,360.28,-
8/23/2006,360.92,367.5,360.01,366.08,360.92,-
8/22/2006,366.1,366.85,364.15,365.12,366.1,-
8/21/2006,365.12,368.46,363.72,368.46,365.12,-
8/18/2006,368.46,368.83,364.88,368.02,368.46,-
8/17/2006,368.02,369.61,366.28,367.35,368.02,-
8/16/2006,367.36,367.88,362.02,362.05,367.36,-
8/15/2006,362.06,362.08,354.42,354.42,362.06,-
8/14/2006,354.43,359.06,353.51,353.51,354.43,-
8/11/2006,353.52,356.58,352.14,356.57,353.52,-
8/10/2006,356.61,357.74,351.08,354.46,356.61,-
8/9/2006,354.46,361.19,353.99,357.67,354.46,-
8/8/2006,357.67,363.9,356.96,360.87,357.67,-
8/7/2006,360.87,363.78,359.13,363.78,360.87,-
8/4/2006,363.79,371.29,360.53,365.11,363.79,-
8/3/2006,365.11,366.2,357.57,360.97,365.11,-
8/2/2006,360.99,363.14,358.22,358.22,360.99,-
8/1/2006,358.23,363.44,356.15,361.71,358.23,-
7/31/2006,362.82,363.44,360.11,361.71,362.82,-
7/28/2006,361.71,362.05,354.71,354.71,361.71,-
7/27/2006,354.74,362.83,354.06,359.16,354.74,-
7/26/2006,359.21,361.68,355.1,361.21,359.21,-
7/25/2006,361.23,362.85,356.66,357.53,361.23,-
7/24/2006,357.53,357.53,348.69,348.69,357.53,-
7/21/2006,348.69,354.21,346.81,354.21,348.69,-
7/20/2006,354.21,365.33,354.03,364.06,354.21,-
7/19/2006,364.06,364.57,353.71,353.91,364.06,-
7/18/2006,353.91,356.83,348.92,352.47,353.91,-
7/17/2006,352.47,357.13,352.05,355.53,352.47,-
7/14/2006,355.53,358.78,351.72,358.78,355.53,-
7/13/2006,358.78,365.82,358.25,365.82,358.78,-
7/12/2006,365.83,372.3,365.68,372.15,365.83,-
7/11/2006,372.17,372.17,365.65,369.94,372.17,-
7/10/2006,369.94,373.17,368.67,369.78,369.94,-
7/7/2006,369.78,375.19,369.23,375.13,369.78,-
7/6/2006,375.13,378.11,373.25,374.12,375.13,-
7/5/2006,374.14,378.82,371.1,378.82,374.14,-
7/3/2006,378.83,378.84,375.45,375.96,378.83,-
6/30/2006,375.97,375.99,370.96,373.05,375.97,-
6/29/2006,373.05,373.05,360.7,360.7,373.05,-
6/28/2006,360.7,361.16,356.77,359.68,360.7,-
6/27/2006,359.83,367.41,359.17,365.59,359.83,-
6/26/2006,365.6,365.68,361.71,361.71,365.6,-
6/23/2006,361.72,363.74,357.98,360.4,361.72,-
6/22/2006,360.4,361.56,358.02,361.43,360.4,-
6/21/2006,361.43,362.87,355.02,355.04,361.43,-
6/20/2006,355.04,359.33,354.95,356.72,355.04,-
6/19/2006,356.73,363.55,355.72,362.66,356.73,-
6/16/2006,362.67,365.58,360.9,365.45,362.67,-
6/15/2006,365.46,366.6,354.4,354.4,365.46,-
6/14/2006,354.41,355.65,350.7,352.76,354.41,-
6/13/2006,352.77,361.28,351.99,357.18,352.77,-
6/12/2006,357.23,366.45,357.23,366.21,357.23,-
6/9/2006,366.22,371.84,365,368.04,366.22,-
6/8/2006,368.04,368.53,357.48,368.53,368.04,-
6/7/2006,368.54,374.83,367.89,370.25,368.54,-
6/6/2006,370.28,373.51,366.58,372.76,370.28,-
6/5/2006,372.76,383.43,372.43,383.43,372.76,-
6/2/2006,383.44,385.59,380.47,382.94,383.44,-
6/1/2006,382.95,382.95,376.15,376.31,382.95,-
5/31/2006,376.31,376.32,371.32,371.32,376.31,-
5/30/2006,371.34,380.62,371.31,380.62,371.34,-
5/26/2006,380.64,381.7,378.59,379.33,380.64,-
5/25/2006,379.34,379.34,373.08,373.08,379.34,-
5/24/2006,373.09,375.16,364.44,372.76,373.09,-
5/23/2006,372.78,380.81,372.46,374.91,372.78,-
5/22/2006,374.94,377.68,370.26,377.68,374.94,-
5/19/2006,377.68,379.34,372.14,376.01,377.68,-
5/18/2006,376.01,382.5,375.99,379.62,376.01,-
5/17/2006,379.62,385.44,379.08,385.44,379.62,-
5/16/2006,385.45,387.56,383.6,384.96,385.45,-
5/15/2006,384.96,386.68,380.96,386.68,384.96,-
5/12/2006,386.69,394.13,386.09,394.13,386.69,-
5/11/2006,394.13,403.29,394.13,403.18,394.13,-
5/10/2006,403.21,404.72,401.5,404.72,403.21,-
5/9/2006,404.72,405.45,404.04,404.89,404.72,-
5/8/2006,404.89,405.44,403.02,404.47,404.89,-
5/5/2006,404.47,405.94,400.37,400.37,404.47,-
5/4/2006,400.37,400.39,396.71,396.71,400.37,-
5/3/2006,396.71,397.59,394.23,396.57,396.71,-
5/2/2006,396.57,396.74,393.14,394.02,396.57,-
5/1/2006,394.02,397.79,393.58,394.58,394.02,-
4/28/2006,394.58,396.96,391.45,392.74,394.58,-
4/27/2006,392.74,397.06,389.85,395.15,392.74,-
4/26/2006,395.15,399.51,394.91,395.15,395.15,-
4/25/2006,395.15,397.02,393.12,396.68,395.15,-
4/24/2006,396.68,399.06,395.28,399.06,396.68,-
4/21/2006,399.06,402.14,397.68,400.46,399.06,-
4/20/2006,400.46,401.52,396.3,401.51,400.46,-
4/19/2006,401.51,401.51,397.39,397.39,401.51,-
4/18/2006,397.39,397.69,387.76,387.76,397.39,-
4/17/2006,387.76,389.14,385.31,387.56,387.76,-
4/13/2006,387.56,388.98,384.01,386.62,387.56,-
4/12/2006,386.62,387.17,384.37,384.76,386.62,-
4/11/2006,384.74,391.27,383.79,389.65,384.74,-
4/10/2006,389.65,392.77,388.44,391.01,389.65,-
4/7/2006,391.01,398.33,390.22,395.79,391.01,-
4/6/2006,395.79,396.28,393.31,396.21,395.79,-
4/5/2006,396.21,396.47,392.6,394.52,396.21,-
4/4/2006,394.52,395.29,391.14,392.34,394.52,-
4/3/2006,392.34,397.41,391.91,395.67,392.34,-
3/31/2006,394.83,394.85,391.96,393.21,394.83,-
3/30/2006,393.21,395.74,391.35,393.88,393.21,-
3/29/2006,393.88,393.88,388.33,388.33,393.88,-
3/28/2006,388.33,391.69,387.5,389.69,388.33,-
3/27/2006,389.69,389.97,388.03,389.9,389.69,-
3/24/2006,389.9,389.94,387.11,387.82,389.9,-
3/23/2006,387.82,387.83,385.04,386.53,387.82,-
3/22/2006,386.53,386.79,381.2,382.04,386.53,-
3/21/2006,382.04,387.72,381.74,385.16,382.04,-
3/20/2006,385.16,385.81,383.31,385.03,385.16,-
3/17/2006,385.03,385.15,383.11,384.03,385.03,-
3/16/2006,384.03,386.34,382.76,382.76,384.03,-
3/15/2006,382.76,382.76,378.97,379.8,382.76,-
3/14/2006,379.8,379.85,374.35,375.63,379.8,-
3/13/2006,375.63,378.27,374.76,374.76,375.63,-
3/10/2006,374.76,374.76,368.8,370.23,374.76,-
3/9/2006,370.23,373.97,369.9,371.84,370.23,-
3/8/2006,371.84,372.83,367.82,371.49,371.84,-
3/7/2006,371.49,376.1,370.22,376.1,371.49,-
3/6/2006,376.1,380.3,375.05,380.28,376.1,-
3/3/2006,380.28,383.72,379.75,381.58,380.28,-
3/2/2006,381.58,383.31,379.8,382.06,381.58,-
3/1/2006,382.06,382.06,376.76,376.76,382.06,-
2/28/2006,376.76,381.29,376.08,381.29,376.76,-
2/27/2006,381.29,383.01,379.96,380,381.29,-
2/24/2006,380,380.38,376.7,377.95,380,-
2/23/2006,377.95,379.94,376.06,378.58,377.95,-
2/22/2006,378.58,378.81,374.96,375.66,378.58,-
2/21/2006,375.65,378.26,374.15,376.74,375.65,-
2/17/2006,376.74,377.57,375.42,377.02,376.74,-
2/16/2006,377.02,377.02,373.89,373.89,377.02,-
2/15/2006,373.89,373.89,369.79,371.1,373.89,-
2/14/2006,371.1,371.86,364.92,366.43,371.1,-
2/13/2006,366.43,370.15,365.27,370.15,366.43,-
2/10/2006,370.15,370.33,365.46,370.25,370.15,-
2/9/2006,370.25,374.97,370,372.55,370.25,-
2/8/2006,372.55,373.11,368.92,370.98,372.55,-
2/7/2006,370.98,377.06,370.68,376.42,370.98,-
2/6/2006,376.42,376.55,372.61,374.62,376.42,-
2/3/2006,374.6,377.09,372.71,376.1,374.6,-
2/2/2006,376.1,380.29,373.36,379.98,376.1,-
2/1/2006,379.98,380.83,378.1,379.84,379.98,-
1/31/2006,379.84,380.58,376.56,378.21,379.84,-
1/30/2006,378.21,379.28,377.26,377.56,378.21,-
1/27/2006,377.56,379.45,374.98,375.67,377.56,-
1/26/2006,375.67,375.67,369.89,369.89,375.67,-
1/25/2006,369.89,371.71,367.99,370.51,369.89,-
1/24/2006,370.51,370.63,365.28,365.28,370.51,-
1/23/2006,365.28,365.8,363.32,364.97,365.28,-
1/20/2006,364.97,370.45,364.57,369.77,364.97,-
1/19/2006,369.77,370.27,364.79,364.79,369.77,-
1/18/2006,364.79,365.23,362.08,364.6,364.79,-
1/17/2006,364.6,366.62,363.23,366.62,364.6,-
1/13/2006,366.62,367.53,365.92,366.31,366.62,-
1/12/2006,366.29,368.76,365.99,368.56,366.29,-
1/11/2006,368.56,369.24,366.07,369.24,368.56,-
1/10/2006,369.24,369.26,364.55,366.32,369.24,-
1/9/2006,366.32,367.27,362.3,362.3,366.32,-
1/6/2006,362.3,362.87,358.61,358.89,362.3,-
1/5/2006,358.89,359.35,357.01,358.21,358.89,-
1/4/2006,358.21,358.7,355.17,356.02,358.21,-
1/3/2006,356.02,356.63,347.37,350.67,356.02,-
12/30/2005,350.67,353.25,349.65,353.25,350.67,-
12/29/2005,353.25,355.49,352.93,354.12,353.25,-
12/28/2005,354.12,354.71,351.27,351.86,354.12,-
12/27/2005,351.85,357.97,351.85,357.16,351.85,-
12/23/2005,357.16,357.26,355.75,355.75,357.16,-
12/22/2005,355.75,355.91,354.26,354.57,355.75,-
12/21/2005,354.56,355.24,351.2,351.2,354.56,-
12/20/2005,351.2,353.31,349.53,350.64,351.2,-
12/19/2005,350.64,355.46,350.35,355.32,350.64,-
