Date,Open,Day Low,Day High,Close,Volume
7/1/1998,173.49,161.17,181.11,161.17,0
8/1/1998,164.49,141.36,164.49,141.36,0
9/1/1998,141.9,134.75,154.22,147.67,0
10/1/1998,144.11,126.83,147.1,147.1,0
11/1/1998,147.1,142.55,150.99,146.52,0
12/1/1998,145.14,138.82,150.14,141.59,0
1/1/1999,141.59,137.99,147.98,140.43,0
2/1/1999,138.43,134,141.68,138.97,0
3/1/1999,135.79,131.22,140.24,133.46,0
4/1/1999,132.41,131.54,149.23,147.04,0
5/1/1999,148.81,147.93,154.75,149.46,0
6/1/1999,149.55,144.23,149.84,146.59,0
7/1/1999,144.72,137.18,145.15,138.07,0
8/1/1999,138.07,132.23,138.07,133.75,0
9/1/1999,133.37,125.41,133.59,126.25,0
10/1/1999,127.27,121.66,128.31,125.05,0
11/1/1999,125.14,121.06,126.88,121.63,0
12/1/1999,121.99,115.97,125.77,125.77,0
1/1/2000,125.77,122.94,130.27,125.92,0
2/1/2000,126.65,121.42,127.42,123.54,128227200
3/1/2000,122.01,121.66,128.87,128.75,276053200
4/1/2000,128.75,126.12,133.32,133.23,234229700
5/1/2000,133.23,133.21,138.31,134.34,231945700
6/1/2000,134.31,134.29,141.88,136.64,249081900
7/1/2000,136.64,136.45,149.59,149.51,195154300
8/1/2000,149.46,143.74,152.55,145.13,222077600
9/1/2000,145.12,145.09,151.12,149.2,201374000
10/1/2000,149.2,137.34,149.24,141.11,218695000
11/1/2000,140.9,138.39,142.87,142.12,207123400
12/1/2000,142.14,141.94,152.78,150.64,235562400
1/1/2001,150.64,147.79,152.18,151.57,225968500
2/1/2001,151.57,144.76,151.58,148.29,235315000
3/1/2001,148.24,143.22,151.13,147.99,295439600
4/1/2001,147.99,144.52,152.19,151.46,276473100
5/1/2001,151.46,149.12,155.84,154.26,295224600
6/1/2001,154.26,153.87,162.74,162.43,305743900
7/1/2001,162.43,157.4,162.64,157.92,264677900
8/1/2001,157.92,157.87,167.23,162.01,358783900
9/1/2001,162.01,144.08,162.09,152.89,373631200
10/1/2001,152.91,145.12,153.97,147.19,533483200
11/1/2001,147.19,147.15,155.17,155.06,386763700
12/1/2001,155.06,153.9,158.55,157.31,358177700
1/1/2002,157.31,155.29,158.72,156.91,384073800
2/1/2002,156.91,155.05,159.9,159.35,308858600
3/1/2002,159.35,159.35,168.64,167.81,317706200
4/1/2002,167.81,165.14,176.76,168.36,356157600
5/1/2002,168.37,164.55,171.61,170.3,350251100
6/1/2002,170.3,168.52,173.01,172.76,350371600
7/1/2002,172.76,137.66,172.76,163.42,515302700
8/1/2002,163.42,154.77,163.49,163.1,331466100
9/1/2002,163.1,153.67,163.12,154.65,289302500
10/1/2002,154.65,136.59,154.75,146.93,433266500
11/1/2002,146.94,146.26,153.69,153.17,317395000
12/1/2002,153.17,150.31,154.63,152.66,348621700
1/1/2003,152.66,144.32,156.36,147.55,359994300
2/1/2003,147.55,143.62,149.62,148.83,309937300
3/1/2003,148.83,144.63,155.53,150.61,414184900
4/1/2003,150.61,150.55,160.81,156.57,374588800
5/1/2003,156.57,155.22,167.8,165.07,429944200
6/1/2003,165.07,163.77,172.51,167.49,423680900
7/1/2003,167.49,166.38,176.57,175.87,431104900
8/1/2003,175.87,171.19,176.29,176.02,335148000
9/1/2003,176.02,176.02,180.86,180.4,406733000
10/1/2003,180.4,179.64,188.12,183.42,453356200
11/1/2003,183.42,183.42,190.9,190.54,346118040
12/1/2003,190.56,190.54,198.38,195.95,375783367
1/1/2004,195.95,194.48,204.45,203.87,466968734
2/1/2004,203.87,201.79,209.23,207.38,444607815
3/1/2004,207.39,207.39,217.26,217.26,546786941
4/1/2004,217.25,182.59,219.3,183.53,886953800
5/1/2004,183.53,172.25,195.87,195.72,666500456
6/1/2004,195.72,190.47,203.04,200.12,582999642
7/1/2004,200.12,194.83,207.4,199.86,497787789
8/1/2004,199.86,198.6,215.49,215.48,546498229
9/1/2004,215.48,210.69,219.75,214.14,571760723
10/1/2004,214.13,213.74,225.47,223.79,552511292
11/1/2004,223.79,223.42,237.07,232.92,625593621
12/1/2004,232.92,232.84,245,243.37,604071406
1/1/2005,243.37,220.9,244.44,223.38,651760510
2/1/2005,223.38,222.87,235.81,228.32,626875189
3/1/2005,228.33,218.76,238.19,222.49,663112083
4/1/2005,222.49,219.29,233.52,233.52,653101520
5/1/2005,233.52,230.9,245.37,241.03,647865405
6/1/2005,241,241,254.9,250.92,684515684
7/1/2005,250.91,250.48,268.07,267.03,596421414
8/1/2005,267.03,244.25,269.15,254.67,834852287
9/1/2005,254.67,244.11,261.22,252.88,761481222
10/1/2005,252.88,230.2,254.1,245.81,846037894
11/1/2005,245.81,238.24,259.67,255.79,798768089
12/1/2005,255.79,252.64,259.96,253.37,707900276
1/1/2006,253.37,251.88,271.79,270.73,779072400
2/1/2006,270.73,263.31,278.38,275.15,752747100
3/1/2006,275.16,273.4,293.72,289.17,973897500
4/1/2006,289.17,269.84,289.7,280.07,858741900
5/1/2006,280.06,261.54,284.29,270.3,892844200
6/1/2006,270.3,268.61,283.84,282.38,943554800
7/1/2006,282.38,279.4,291.77,290.01,720820500
8/1/2006,289.99,282.06,298.41,297.57,962118100
9/1/2006,297.56,293.02,307.05,302.73,773191600
10/1/2006,302.73,300.23,322.3,321.58,843679300
11/1/2006,321.58,306.23,335.91,335.04,980829300
12/1/2006,335.03,321.98,339.15,328.72,746114700
1/1/2007,328.72,321.68,356.94,355.82,905472000
2/1/2007,355.82,338.44,371.02,344.26,1200289400
3/1/2007,344.25,321.96,345.34,334.14,1441898700
4/1/2007,334.14,330.29,344.11,334.29,796551400
5/1/2007,334.3,310.41,337.61,334.04,1133526000
6/1/2007,334.05,295.95,337.29,302.56,1195794800
7/1/2007,302.56,273.74,316.97,276.52,1179310100
8/1/2007,276.5,260.24,294.3,288.36,1542895800
9/1/2007,288.36,274.93,304.62,299.35,801762700
10/1/2007,299.35,284.25,316.96,300.46,906498400
11/1/2007,300.44,251.32,300.44,272.88,1123376500
12/1/2007,272.88,248.68,288.34,257.45,858806900
1/1/2008,257.45,222.8,259.63,255.58,1360575400
2/1/2008,255.61,240.17,265.5,244.57,1037995000
