Date,Value
2001-01-04 00:00:00,40.352723795279346
2001-01-05 00:00:00,39.89962291901853
2001-01-08 00:00:00,39.84631787427216
2001-01-09 00:00:00,40.03288819619001
2001-01-10 00:00:00,39.84631787427216
2001-01-11 00:00:00,39.89962291901853
2001-01-12 00:00:00,39.95292796376491
2001-01-16 00:00:00,39.979583151443634
2001-01-17 00:00:00,40.15016270622313
2001-01-18 00:00:00,40.03288819619001
2001-01-19 00:00:00,40.19280866104022
2001-01-22 00:00:00,40.139503616293844
2001-01-23 00:00:00,40.512644260129555
2001-01-24 00:00:00,40.64590953730103
2001-01-25 00:00:00,40.699214582047404
2001-01-26 00:00:00,40.672564724979765
2001-01-29 00:00:00,40.699214582047404
2001-01-30 00:00:00,40.85913504689761
2001-01-31 00:00:00,40.672564724979765
